short_hash,date,mr,branch,show,build_4,build_8,build_12,show_cached
1233899f,2019-06-04T10:46:25+00:00,!1370,bschubert/optimize-node_get,7.4,126.79,148.17,172.98,6.64
f0288920,2019-06-05T14:40:18+00:00,!1334,aevri/split_jobs_parent_child,7.31,127.14,150.3,170.88,6.64
24657160,2019-06-05T15:14:09+00:00,!1366,raoul/1025-legacy-remotes,7.32,128.24,146.83,170.76,6.61
bf8c33a1,2019-06-05T16:13:52+00:00,!1371,bschubert/cythonize-valid-char-names,7.27,128.38,150.01,170.96,6.61
2e755c87,2019-06-06T09:28:25+00:00,!1378,bschubert/pylint-fixes,7.28,128.76,148.39,169.91,6.6
e0bd68ca,2019-06-06T11:33:45+00:00,!1376,bschubert/pylint-integration,7.35,128.66,148.56,173.85,6.62
0b7a9f3e,2019-06-06T12:15:32+00:00,!1373,aevri/defensive_send_message,7.19,128.8,151.72,173.75,6.61
cdbad2be,2019-06-06T13:59:05+00:00,!1381,jennis/fix_failing_test,7.3,128.26,148.92,169.96,6.55
17da93ab,2019-06-06T14:32:57+00:00,!1374,aevri/spawk,7.26,128.07,151.69,172.49,6.62
ff0555ab,2019-06-06T15:04:18+00:00,!1375,bschubert/site-consolidation,7.32,129.97,149.71,168.73,6.62
1e3ef2d7,2019-06-06T15:52:40+00:00,!1377,bschubert/pylint-artifactcache,7.26,128.48,150.58,171.45,6.62
492b2ad1,2019-06-06T16:48:33+00:00,!1379,bschubert/optimize-loader-types,7.07,127.76,149.08,168.93,6.54
640f0ca5,2019-06-06T17:17:52+00:00,!1380,aevri/job_msg_enum,7.24,129.44,148.91,172.69,6.59
16338464,2019-06-07T15:05:50+00:00,!1344,jennis/push_based_pipeline,7.16,128.47,130.57,126.81,6.62
20747fc2,2019-06-07T15:47:52+00:00,!1385,tpollard/bzrfix,7.18,128.27,128.72,127.17,6.68
4a8a5a8f,2019-06-07T17:25:11+00:00,!1384,bschubert/stricter-node-api,7.47,134.81,134.76,133.27,7.07
bb0b3e44,2019-06-07T18:05:29+00:00,!1383,bschubert/optimize-extract-depends-node,7.4,133.96,134.35,132.72,6.83
9a5cca34,2019-06-10T10:02:06+00:00,!1387,bschubert/remove-useless-condition,7.41,134.51,133.84,131.75,6.85
8900b022,2019-06-11T14:13:21+00:00,!1388,bschubert/fix-overnight,7.49,136.6,136.55,133.98,6.9
64750a1f,2019-06-12T09:09:51+00:00,!1391,aevri/supersuper,7.4,135.42,136.38,134.28,6.86
16a76833,2019-06-12T15:14:25+00:00,!1393,aevri/psutil_volume,7.41,135.2,135.12,134.57,7.01
147190b6,2019-06-12T16:46:15+00:00,!1395,juerg/cas-dead-code,7.39,135.42,135.52,134.02,6.85
9be35e6c,2019-06-13T15:02:02+00:00,!1398,tpollard/elapsedtime,7.39,135.88,135.25,135.16,6.88
6a2872f3,2019-06-14T10:24:09+00:00,!1399,raoul/unique-error-domains,7.46,135.71,135.66,134.68,6.89
0a83e87c,2019-06-17T16:20:10+00:00,!1404,jennis/fix_typo,7.41,135.69,135.95,135.96,6.92
405e0f3b,2019-06-18T09:43:52+00:00,!1394,aevri/psutil_affinity,7.42,136.06,136.2,133.94,6.85
97c67fed,2019-06-18T10:21:41+00:00,!1390,aevri/pylint_argsdiff,7.4,135.88,135.3,133.87,6.87
dd57aab5,2019-06-19T08:30:25+00:00,!1407,aevri/smallerjobs,7.37,135.47,137.91,135.17,6.88
9d593e1f,2019-06-19T09:52:56+00:00,!1405,juerg/grpc,7.45,136.62,136.62,134.42,6.94
7f3900a2,2019-06-19T15:06:07+00:00,!1392,tpollard/shellbuildtree,7.42,136.34,136.66,135.0,6.83
5c8642b4,2019-06-24T11:29:22+00:00,!1400,raoul/1044-blobs-on-demand,7.37,136.89,137.54,134.58,6.79
722d4567,2019-06-24T16:47:33+00:00,!1406,jennis/notify_reverse_deps,7.46,134.61,134.4,133.37,6.85
6fb77325,2019-06-25T10:22:58+00:00,!1414,juerg/fetch-subprojects,7.42,141.66,134.27,132.31,7.05
950d7e90,2019-06-25T11:23:04+00:00,!1412,bschubert/remove-useless-sanitize,7.39,133.86,134.12,131.65,6.94
57a2baaa,2019-06-25T23:08:34+00:00,!1421,chandan/misc-gitignore,7.36,133.5,134.38,133.33,6.91
590e694c,2019-06-26T09:52:44+00:00,!1416,jennis/do_not_leak_project_specific_remotes,7.41,134.22,134.59,132.36,6.93
e5662fa5,2019-06-26T12:54:32+00:00,!1420,chandan/fix-egg-info-gitignore,7.48,133.88,134.63,133.31,6.93
72245825,2019-06-26T14:01:07+00:00,!1422,chandan/fix-readme-badges,7.36,134.11,134.63,131.67,7.08
af033797,2019-06-26T16:31:58+00:00,!1410,raoul/915-capabilities-service,7.45,134.0,134.22,131.1,6.84
0ba48b73,2019-06-27T09:40:59+00:00,!1427,juerg/source-checkout,7.41,134.16,134.1,134.32,6.9
248786e4,2019-06-27T13:17:55+00:00,!1433,aevri/cascache_nits,7.44,134.16,133.88,131.86,6.93
7893f514,2019-07-02T10:23:36+00:00,!1419,aevri/set_resource_limits,7.44,133.39,134.51,131.63,6.95
2219874c,2019-07-02T15:03:46+00:00,!1431,tar-target-renaming,7.43,133.43,134.07,131.6,6.96
eb30ffba,2019-07-02T15:43:27+00:00,!1430,AlexFazakas/add-bst-init-argument,7.44,134.15,134.6,131.83,6.94
1a34455d,2019-07-02T19:33:27+00:00,!1443,aevri/context_nitpicks,7.46,133.55,134.52,132.93,6.94
1be4a7f1,2019-07-03T11:14:50+00:00,!1446,juerg/sourcecache,7.47,133.61,134.39,132.14,6.8
a80adc03,2019-07-04T12:43:10+00:00,!1441,shashwatdalal/tar-file-extraction,7.43,134.07,133.97,131.58,6.86
40a2ebe0,2019-07-04T15:39:49+00:00,!1408,aevri/smallerjobs2,7.48,133.93,134.3,131.95,6.93
34763b37,2019-07-05T10:20:14+00:00,!1445,aevri/messenger,7.49,133.68,135.83,132.27,6.88
93816bea,2019-07-08T07:49:32+00:00,!1369,shashwatdalal/make-magic-timestamp-public,7.47,135.63,134.3,131.52,6.96
cf0516ba,2019-07-08T11:17:25+00:00,!1435,raoul/1038-source-cache-proto,7.44,134.3,135.59,134.22,6.87
cc8abc15,2019-07-08T19:09:33+00:00,!1457,juerg/yaml-synthetic-file-index,7.34,134.94,135.74,132.78,6.94
2b98deb0,2019-07-09T14:29:50+00:00,!1327,jjardon/aarch64_fedora30,7.45,134.79,135.37,132.68,6.93
5d3752fb,2019-07-09T15:48:26+00:00,!1440,aevri/win32_tempfilename,7.44,135.23,136.78,132.72,6.86
1e11d190,2019-07-09T16:19:38+00:00,!1454,aevri/rm_artifacts,7.36,135.89,136.85,133.19,6.93
e274b648,2019-07-09T17:24:44+00:00,!1409,jonathan/frontend-separation,7.41,136.1,136.86,133.65,6.9
d1a9a920,2019-07-09T21:16:05+00:00,!1455,aevri/vulture,7.34,136.08,136.88,134.5,6.79
199f080f,2019-07-10T08:55:02+00:00,!1411,tristan/exit-on-nonblock-terminal,7.41,135.7,135.88,132.97,7.12
24426ebe,2019-07-11T17:03:59+00:00,!1402,raoul/1043-disabling-blob-fetching,7.45,136.0,135.21,134.0,6.85
90fc39c1,2019-07-12T07:29:41+00:00,!1429,willsalmon/platformRefactor,7.41,126.88,130.09,124.9,6.88
8d485588,2019-07-12T17:05:57+00:00,!1466,traveltissues/cache-key-changes,7.31,126.31,130.55,125.21,6.86
c6886c25,2019-07-12T18:06:27+00:00,!1452,raoul/994-further-re-testing,7.4,126.34,130.32,125.0,6.83
0d490522,2019-07-15T14:12:54+00:00,!1475,chandan/fix-fuse-check,7.35,125.24,130.5,126.02,6.86
12c919a4,2019-07-15T14:57:59+00:00,!1472,bschubert/new-node-api,6.72,127.5,130.51,126.73,6.17
385e3719,2019-07-16T04:06:22+00:00,!1473,tristan/config-max-jobs,6.7,127.94,130.88,125.3,6.21
9232bcbd,2019-07-16T09:52:55+00:00,!1449,jennis/update_ready_for_runtime,6.66,124.55,130.43,126.17,6.17
6163ef87,2019-07-16T10:26:50+00:00,!1478,aevri/nodews,6.66,128.93,130.35,127.22,6.08
0f1938dd,2019-07-16T11:52:20+00:00,!1476,becky/artifact_checkout_directory,6.65,128.31,130.73,125.73,6.08
5c9753b3,2019-07-16T14:27:12+00:00,!1465,juerg/context,6.6,125.59,130.21,127.32,6.02
fbb8eea8,2019-07-16T15:30:57+00:00,!1481,juerg/unused-cache-keys,6.6,126.14,129.81,126.32,6.09
a7ac4fed,2019-07-17T07:38:41+00:00,!1451,becky/tar_compression,6.55,125.38,130.28,125.73,5.94
ef7bf9dd,2019-07-17T08:59:37+00:00,!1484,bschubert/api-improvements,6.58,126.87,129.59,125.96,6.0
9b2cac15,2019-07-17T09:37:52+00:00,!1483,bschubert/optimize-downloadable-sources,6.26,127.65,130.02,127.51,6.07
6160a64c,2019-07-17T10:13:43+00:00,!1485,bschubert/fix-missing-variable-provenance,6.2,127.49,128.88,126.18,6.08
c7263e31,2019-07-17T11:10:52+00:00,!1480,juerg/platform,6.28,127.62,129.95,125.0,6.0
ef4cc3f2,2019-07-17T11:57:18+00:00,!1486,becky/fix_comand_typos,6.21,129.5,130.71,128.45,6.1
d79747d7,2019-07-18T10:44:51+00:00,!1468,traveltissues/fix-update-script,6.2,128.95,129.96,125.56,6.02
93ad9d47,2019-07-18T14:13:41+00:00,!1489,tpollard/loaderror,6.26,126.52,130.17,125.17,6.18
52b54a65,2019-07-19T07:58:06+00:00,!1488,alexfazakas/fix-frontend-typo,6.27,128.19,129.96,126.46,6.09
4de721d6,2019-07-19T17:52:14+00:00,!1491,chandan/fix-source-checkout-1083,6.24,131.04,129.75,125.8,6.15
ff39b352,2019-07-19T18:29:08+00:00,!1490,chandan/workspace-force-no-checkout,6.25,128.2,130.18,126.27,6.11
9656b2cb,2019-07-22T16:29:24+00:00,!1470,traveltissues/cache-key-changes-2,6.47,129.08,129.53,126.71,6.21
d5252efe,2019-07-24T10:30:19+00:00,!1498,jjardon/overnigth_yaml_bst2_chanches,6.44,128.24,130.46,129.12,6.21
64c1ceed,2019-07-24T14:34:41+00:00,!1463,aevri/pickle,7.72,129.85,131.23,125.4,6.31
41b4eb57,2019-07-25T14:22:25+00:00,!951,buildbox,6.57,128.09,126.68,126.12,6.26
737fbaca,2019-07-26T10:03:54+00:00,!1493,bschubert/optimize-loader,6.37,126.37,128.89,127.87,6.19
a9adb480,2019-07-26T13:44:01+00:00,!1482,jonathan/job-progress,6.48,128.97,131.19,126.83,6.38
4b23d444,2019-07-26T15:53:13+00:00,!1497,becky/artifact_access,6.58,130.64,130.02,128.48,6.37
7736e44a,2019-07-26T19:13:33+00:00,!1503,bschubert/update-dind-ci,6.51,129.61,131.63,128.31,6.39
e97f0348,2019-07-29T10:36:54+00:00,!1487,bschubert/node-enum,6.62,133.49,141.21,134.41,11.46
8f505e64,2019-07-30T07:58:33+00:00,!1506,jjardon/ruamel,6.54,135.0,140.29,137.98,6.34
b5a5dd24,2019-07-30T10:43:42+00:00,!1508,alexfazakas/lint-whatever-you-want,6.6,132.14,133.17,131.46,6.34
a3a5459a,2019-07-30T13:59:26+00:00,!1507,bschubert/debug-show-trace,6.65,129.12,141.97,134.46,6.34
78a48653,2019-07-31T14:04:41+00:00,!1509,bschubert/small-fixes,6.57,126.0,142.91,137.61,6.51
3d224253,2019-07-31T17:13:06+00:00,!1505,alexfazakas/fetch-committers,6.6,131.08,133.66,129.15,6.29
2a844d35,2019-08-02T12:18:53+00:00,!1510,update_committers,6.58,130.06,133.03,129.37,6.33
7adc250f,2019-08-05T17:51:05+00:00,!1522,jjardon/code_quality,6.59,129.79,136.11,128.75,6.29
ae518d44,2019-08-06T10:33:04+00:00,!1492,traveltissues/setstability,6.62,131.64,131.9,129.73,6.37
60b4d645,2019-08-06T13:45:05+00:00,!1403,jennis/junctions_and_remotes,6.59,131.72,132.53,131.96,6.47
2d670f19,2019-08-07T12:36:54+00:00,!1525,juerg/buildbox,6.6,132.0,132.64,128.97,6.41
5a42a27b,2019-08-08T08:58:06+00:00,!1520,coldtom/move-cmake,6.63,130.18,131.9,129.0,6.3
3e0eb253,2019-08-08T13:51:40+00:00,!1527,juerg/artifact-blobs,6.61,129.31,132.51,130.77,6.86
33af5af4,2019-08-08T14:42:00+00:00,!1500,tpollard/messageobject,6.57,131.4,133.88,128.72,6.74
760ced14,2019-08-08T15:50:38+00:00,!1528,danielsilverstone-ct/load-reject-duplicates,6.6,128.38,133.83,129.51,6.76
235f0d78,2019-08-08T23:27:24+00:00,!1532,coldtom/move-meson,6.6,129.47,133.88,128.84,6.81
8b0ed6d3,2019-08-09T09:49:21+00:00,!1534,tpollard/initfix,6.64,131.23,133.73,129.06,6.76
81c9c40b,2019-08-09T10:33:53+00:00,!1533,jennis/fix_artifact_log,6.66,132.13,135.5,129.44,6.79
4679acd6,2019-08-11T11:37:36+00:00,!1535,coldtom/move-make,6.57,129.05,134.05,129.83,6.79
f7e56788,2019-08-12T08:31:34+00:00,!1538,coldtom/move-makemaker,6.63,128.46,133.57,129.51,6.79
05d673ff,2019-08-12T12:18:30+00:00,!1531,tmewett/report-weird-return-codes,6.57,128.68,133.44,128.59,6.75
64748b53,2019-08-13T09:19:45+00:00,!1536,jennis/fix_failed_workspaces,6.53,130.26,132.45,128.96,6.88
0fbc8956,2019-08-14T12:42:16+00:00,!1543,danielsilverstone-ct/missing-sh-fix,6.56,126.98,134.72,129.08,6.8
4a86daca,2019-08-14T14:35:45+00:00,!1539,coldtom/move-modulebuild,6.61,130.13,133.87,128.21,6.74
b94d80de,2019-08-14T15:18:55+00:00,!1524,jennis/push_unbuilt_artifact,6.67,127.61,133.97,128.71,6.86
cf3f9257,2019-08-15T00:16:40+00:00,!1545,coldtom/move-qmake,6.6,129.53,134.02,129.58,6.78
c627b220,2019-08-16T13:49:59+00:00,!1551,danielsilverstone-ct/fix-node-provenance,6.55,129.04,133.58,127.81,6.7
1f702026,2019-08-16T15:01:19+00:00,!1529,becky/artifact_list_contents,6.62,130.92,133.18,128.31,6.68
dd03a017,2019-08-16T17:37:44+00:00,!1511,aevri/spawn,6.58,129.73,134.12,128.19,6.77
1abf4ab5,2019-08-19T15:18:08+00:00,!1548,jennis/add_project_to_proto,6.61,126.66,132.38,129.04,6.88
e92781bd,2019-08-19T15:57:22+00:00,!1546,tpollard/frontendelement,6.57,131.03,134.53,129.38,6.76
56ff33fb,2019-08-20T07:12:05+00:00,!1499,juerg/casd,6.22,130.02,131.68,134.28,6.76
d20d296a,2019-08-20T12:08:51+00:00,!1554,aevri/nomp,6.24,130.79,133.91,134.31,6.55
3ea09c31,2019-08-22T11:13:14+00:00,!1541,tmewett/artifact-help,6.28,132.09,133.58,134.81,6.5
fcadd6b5,2019-08-22T13:48:07+00:00,!1558,juerg/server-casd,6.25,132.03,134.16,134.2,6.54
e1ca4efb,2019-08-23T17:15:54+00:00,!1562,bschubert/fix-mutable-args,6.29,131.38,133.26,134.09,6.55
af03e3ed,2019-08-27T09:52:24+00:00,!1537,bschubert/register-sources-on-test,6.25,130.04,131.69,133.1,6.54
84fc72e0,2019-08-27T12:02:22+00:00,!1553,jennis/load_artifact_dependencies,6.32,131.36,133.64,134.01,6.51
50f51259,2019-08-28T09:49:20+00:00,!1560,jennis/bst_artifact_show,6.25,129.9,132.55,133.16,6.54
fe3d5717,2019-08-28T13:02:26+00:00,!1559,tmewett/build-deps-cli,6.3,131.57,131.99,133.99,6.56
b794f058,2019-08-29T12:15:19+00:00,!1567,juerg/cas,6.32,131.18,133.25,133.52,6.66
8adb55af,2019-08-29T17:52:40+00:00,!1552,becky/artifact_log_file_option,6.27,130.93,132.66,133.31,6.55
67f1dff4,2019-08-30T08:15:28+00:00,!1571,juerg/tox-home,6.22,131.75,133.32,132.87,6.65
aa9bc230,2019-08-30T09:27:24+00:00,!1566,juerg/cache-quota,6.27,131.64,132.97,133.12,6.52
f3baddd7,2019-08-30T10:51:17+00:00,!1557,tmewett/test-in-subprocess,6.23,131.17,132.73,132.65,6.53
7ada40f3,2019-08-31T13:18:41+00:00,!1542,tristan/strict-rebuild,6.45,130.07,131.94,133.23,6.67
